Name, Cost, Link, Purpose
Ignitor 20 pack, 29.60, https://electricmatch.com/blasting-law-enforcement-military/see/6/7/mjg-firewire-initiator--standard, igniting pyrotechnic compoennts like motors
teensy 4.1, 35.49, https://www.amazon.com/PJRC-Cortex-M7-Processor-iMXRT1062-Without/dp/B088JY7P2H/ref=asc_df_B088JY7P2H?mcid=8ae789eb80d63b429a8b6233ef5751e7&hvocijid=17548775748303405856-B088JY7P2H-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=730312820598&hvpos=&hvnetw=g&hvrand=17548775748303405856&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9001697&hvtargid=pla-2281435177898&psc=1, processing information and running code
2s450mAh 100C lipo (2), 15.99, https://www.amazon.com/OVONIC-Battery-Package-Including-Batteries/dp/B0D3F5SQ5T/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.gYYcCWmiTlFbvQRmeAibuGr2aKcAJe1jHgsTpN884Cw8oW3Wdzy9pyBCNqPCnOqHTNP_x6Fle7wReQ7mRdR2z7OfN7cbB16PEj693bv_CHA8dPjz7R4eYi3YXPl6JLQZPpEc5AUyUE4qfdWJEHZHBKxWxkeUBxW_zQSyBH26a2wwzBQrBroeJZtvlT3Dse5Vvb0nTMPKvHQNda3Bwg9G1l8X9cfD_IDGxEFLb2xPnJ_cveE6dFqdV4_nxm-dHIX4z_rGqd7YM2wUYwUrVkXqwiJ5eVih9GLUoigaOTOh2fo.X5shNDTcRJUBxLiL_zaug0F27wwoYK-v8rWSgAkjS64&dib_tag=se&keywords=2s+450mah+lipo&qid=1748531771&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, powering the flight computer
BMI088, 5.23, https://www.digikey.com/en/products/detail/bosch-sensortec/BMI088/8634936, reading inertial data
BMP390, 3.15, https://www.digikey.com/en/products/detail/bosch-sensortec/BMP390/16164577, reading altitude
2 wagos, 8.72, https://www.digikey.com/en/products/detail/wago-corporation/2601-1104/17123797?gQT=1, connecting pyro channels
xt30u, 0.72, https://www.tme.eu/en/details/xt30upb-m/dc-power-connectors/amass/?utm_source=octopart.com&utm_medium=cpc&utm_campaign=compare-2025-05-27, connecting the battery to
8 servo pins, 7.84, https://www.digikey.com/en/products/detail/amphenol-icc-commercial-products-/G800W305018EU/13683151?gQT=1, connecting the servo pins 
5 mosfets, 4.00, https://www.digikey.com/en/products/detail/diodes-incorporated/DMN1019UVT-7/5126835, controlling pyro channels
printed circuit board (self funded), est 15.00, https://jlcpcb.com/, mounting flight computer devices on
 3ml syringes, 11.20, https://www.mcmaster.com/7510A651/, dampening landing legs
 brushless motor, 6.80, https://www.aliexpress.us/item/3256806626806030.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.7c54Cq7aCq7aer&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f08c2163-ad50-40c0-92f5-6df285bcc4ca&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:f08c2163-ad50-40c0-92f5-6df285bcc4ca,tpp_buckets:668%232846%238113%231998&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%216.93%216.73%21%21%216.93%216.73%21%402101c5a417477550279028774ef870%2112000038389080462%21rec%21US%21%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A, driving the reaction wheel
 extension cable, 5.99, https://www.amazon.com/FLY-RC-Connector-Extension-Brushless/dp/B0B12CFKNZ/ref=asc_df_B0B12CFKNZ?mcid=8e5db81149053e17aedeaeb54fc6da1f&hvocijid=2611908650921179939-B0B12CFKNZ-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=2611908650921179939&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9001697&hvtargid=pla-2281435177618&th=1, connecting the motor to the flight computer
 set screws 50pc 2cm 5mm, 1.38, https://www.aliexpress.us/item/2251832795980382.html?spm=a2g0o.productlist.main.11.4816cYVfcYVfrL&algo_pvid=4b71b07a-a4f2-45ce-9069-14c906ecce58&algo_exp_id=4b71b07a-a4f2-45ce-9069-14c906ecce58-10&pdp_ext_f=%7B%22order%22%3A%22403%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.35%211.15%21%21%211.35%211.15%21%402101ea8c17477554416392859edc7d%2166712359808%21sea%21US%210%21ABX&curPageLogUid=z28QujZoM2cn&utparam-url=scene%3Asearch%7Cquery_from%3A, weighing down the reaction wheel
0.5kg Fiberon™ PA6-CF20, 39.99, https://us.polymaker.com/products/fiberon-pa6-cf20?variant=43596329287737, 3d printing rocket parts 
0.8kg PolyLite™ LW-PLA black, 35.99, https://us.polymaker.com/products/polylite-lw-pla?variant=39574342893625, 3d printing rocket parts 
